BBLCOUNT        1.0         0
0x7fa7b9258ddb 1 7 40
0x7fa7b92be841 0 2 12
0x7fa7b92be84d 0 3 19
0x7fa7b92be87a 1 1 1
0x7fa7b92df090 1 18 81
0x7fa7b92df0e1 0 3 12
0x7fa7b9258eb0 1 2 9
0x7fa7b9258eb9 1 3 16
0x7fa7b92bc58a 1 1 1
0x7fa7b92be82e 1 3 19
0x7fa7b9258dd2 1 3 9
0x7fa7b9258dc9 1 2 9
0x7fa7b92df0ed 0 4 24
0x7fa7b92df0c0 3 10 33
0x7fa7b92df0e1 1 3 12
0x7fa7b92df0ed 1 4 24
0x7fa7b92df105 1 6 22
0x7fa7b92bbcb0 1 4 14
0x7fa7b9351c1d 4 3 10
0x7fa7b92defe0 1 18 81
0x7fa7b92df031 0 3 12
0x7fa7b92df03d 0 4 24
0x7fa7b92df010 3 10 33
0x7fa7b92df031 1 3 12
0x7fa7b92df03d 1 4 24
0x7fa7b9351bb0 4 5 26
0x7fa7b9351bca 4 13 83
0x7fa7b9258ee0 0 2 15
0x7fa7b9351c27 4 2 5
0x7fa7b9351c2c 4 4 12
0x7fa7b9258e14 0 5 21
0x7fa7b92df055 1 6 22
0x7fa7b9258e03 1 5 17
0x7fa7b92be820 1 2 9
0x7fa7b92be829 0 1 5
0x7fa7b92bbcce 1 6 30
0x7fa7b92bbcbe 1 3 16
0x7fa7b9258d90 1 3 5
0x7fa7b92bc539 1 1 5
0x7fa7b9258d95 1 3 14
0x7fa7b92bc530 1 2 9
0x7fa7b9258da3 1 2 8
0x7fa7b9258dab 1 2 12
0x7fa7b9258ef0 1 2 7
0x7fa7b9258ec9 0 3 23
0x7fa7b92bc551 0 2 12
0x7fa7b92bc55d 0 3 19
0x7fa7b9258ed3 1 2 13
0x7fa7b92bc53e 1 3 19
0x7fa7b9258ef7 1 16 59
0x7fa7b9258f32 1 3 15
0x7fa7b9258f41 1 4 10
0x7fa7b9258fa0 1 3 19
0x7fa7b9258fb3 1 3 18
0x7fa7b9258e14 1 5 21
0x4005cd 1 2 5
0x4005c8 0 1 5
0x4005b8 1 4 16
0x400600 1 1 6
0x400606 1 2 10
0x400636 1 2 10
0x400630 1 1 6
0x400670 161 1 6
0x400676 1 2 10
0x4005f6 1 2 10
0x400640 10040 1 6
0x4005f0 10005 1 6
0x400646 1 2 10
0x400610 10007 1 6
0x400616 1 2 10
0x400626 1 2 10
0x4005e0 7 2 12
0x400620 1800 1 6
0x4006b5 1 1 5
0x400693 0 2 9
0x4006b0 1 1 5
0x4006ba 1 3 7
0x4006a2 1 3 14
0x400680 1 4 19
0x4006c1 1 11 41
0x400705 1 2 2
0x4006f0 1 6 21
0x400742 1 2 2
0x400720 1 10 34
0x400772 1 3 10
0x400760 1 2 9
0x400769 1 3 9
0x40078a 0 3 10
0x4007a8 1 1 5
0x400794 0 4 11
0x400780 1 2 10
0x4007ec 10006 3 9
0x400800 10006 1 2
0x4007f5 22234106 4 11
0x4007ec 48979930 3 9
0x4007d8 48989936 6 20
0x4007f5 4599 4 11
0x4007b0 10006 3 11
0x4007bb 10006 5 22
0x4007f5 28881389 4 11
0x4007db 51120094 5 17
0x4007ec 51120094 3 9
0x400810 10005 7 28
0x40082c 10005 3 12
0x400850 100090020 13 41
0x400879 10005 1 2
0x400879 0 1 2
0x400850 10005 13 41
0x400840 10005 5 16
0x4008c5 20009 1 2
0x400898 200170036 13 45
0x4008c5 0 1 2
0x400894 20009 14 49
0x400880 20009 6 20
0x400966 0 11 33
0x40095e 6729 2 8
0x400930 37060145 15 46
0x40092b 0 1 2
0x400918 6729 6 19
0x400910 10004 2 8
0x40094c 30263500 5 18
0x40095e 37056479 2 8
0x400966 13663935 11 33
0x400966 16599565 11 33
0x40095e 30260437 2 8
0x4009a0 6729 1 2
0x4009dd 3275 1 2
0x4009b0 32763100 14 45
0x4009dd 0 1 2
0x4009a8 3275 17 53
0x40099a 0 2 8
0x400990 3275 3 10
0x4009eb 2 18 61
0x400a28 0 1 2
0x400a00 20008 13 40
0x400a28 2 1 2
0x4009e0 2 3 11
0x400a4e 2 5 10
0x400a30 2 10 30
0x400a9b 22220334 4 10
0x400a82 51094657 5 17
0x400a93 51094657 3 8
0x400a60 10005 3 11
0x400a6b 10005 5 18
0x400a93 10005 3 8
0x400a9b 4551 4 10
0x400a80 49005368 6 19
0x400a93 48995363 3 8
0x400aa8 10005 1 2
0x400a9b 28869772 4 10
0x400ab0 10005 2 10
0x400b83 1 1 5
0x400b3f 10004 1 5
0x400b44 10004 1 5
0x400b49 10004 1 5
0x400b58 1 3 15
0x400b67 1 2 10
0x400b71 1 4 18
0x400b05 10004 3 12
0x400b88 1 3 15
0x400b97 1 3 15
0x400ba6 1 3 15
0x400bb5 1 2 6
0x400b4e 10004 2 5
0x400b53 1 1 5
0x400b00 10003 1 5
0x400adc 1 3 12
0x400b2d 10004 4 18
0x400ae8 1 4 15
0x400af7 1 2 14
0x400b20 10004 3 13
0x400ac0 1 7 28
0x400b11 10004 3 15
0x400bed 1 8 42
0x400bdf 1 3 14
0x400bc0 1 8 31
0x400c4b 1 5 23
0x400cad 160 5 27
0x400c3c 1 3 15
0x400c62 9999 9 21
0x400c77 2000 9 26
0x400c17 1 1 2
0x400c91 200 8 28
0x400c38 9959 4 19
0x400ce1 1800 1 5
0x400cc8 160 1 5
0x400c20 40 5 21
0x400cf0 1 4 5
0x400c4b 9959 5 23
0x400cd0 1800 3 17
0x400c4b 39 5 23
0x400c35 40 5 22
0x400d33 1 2 5
0x400d56 1 8 15
0x400d4d 1 3 9
0x400d38 1 5 21
0x400d00 1 16 51
0x400d74 1 3 9
0x7fa7b9256410 1 1 6
0x7fa7b92585f0 1 6 14
0x7fa7b92585fe 1 2 5
0x7fa7b9258603 0 2 9
0x7fa7b925861e 1 3 16
0x7fa7b925862e 1 4 19
0x7fa7b9258813 1 2 9
0x7fa7b9258653 1 4 20
0x7fa7b9258714 1 5 13
0x7fa7b92586a9 0 2 5
0x7fa7b9258641 1 4 18
0x7fa7b92586a4 1 2 5
0x7fa7b925869f 1 2 5
0x7fa7b925883a 1 8 20
0x7fa7b92586a9 1 2 5
0x7fa7b92586ae 1 11 53
0x7fa7b92586e3 1 13 49
0x7fa7b92587fe 1 4 10
0x7fa7b92587f6 2 2 8
0x7fa7b92587f2 2 2 4
0x7fa7b9258813 0 2 9
0x7fa7b9258800 1 3 8
0x7fa7b925868b 1 3 8
0x7fa7b9258693 4 2 4
0x7fa7b9258697 0 4 13
0x7fa7b9258667 1 3 10
0x7fa7b92586a4 0 2 5
0x7fa7b9258678 4 5 17
0x7fa7b9258689 3 4 10
0x7fa7b92587d5 1 4 13
0x7fa7b9258808 2 3 11
0x7fa7b92587e2 1 2 6
0x7fa7b92587e8 1 3 10
0x7fa7b925890c 1 5 27
0x7fa7b92588fc 1 3 16
0x7fa7b925888d 0 22 111
0x7fa7b9258927 1 2 9
0x7fa7b92588db 3 10 33
0x7fa7b9258930 1 6 35
0x7fa7b925890c 0 5 27
0x7fa7b92588fc 0 3 16
0x7fa7b9258897 1 21 101
0x7fa7b92589bd 0 1 5
0x7fa7b9258998 1 6 37
0x7fa7b9258988 1 6 11
0x7fa7b9258983 1 1 5
0x7fa7b9258860 1 11 35
0x7fa7b9258883 0 3 10
0x7fa7b9258953 1 10 48
0x7fa7b9258a10 1 13 48
0x7fa7b9258ac1 1 12 68
0x7fa7b9258abd 1 2 4
0x7fa7b9258a63 1 6 24
0x7fa7b9258a7b 1 2 5
0x7fa7b9258a80 1 5 21
0x7fa7b9258ab3 1 2 10
0x7fa7b9258aaa 1 2 9
0x7fa7b9258a95 1 4 21
0x7fa7b9258b05 1 2 7
0x7fa7b9258a57 1 4 12
0x7fa7b9258a49 1 4 14
0x7fa7b9258b0c 1 2 7
