Workload 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 
32.0M 6188.2 5885.8 5291.1 4469.0 3731.2 3171.4 2700.0 2328.1 2035.7 1804.2 1616.3 1469.0 1349.9 1248.1 1159.0 1076.8 1033.1 987.8 942.8 912.7 880.5 854.2 829.3 807.9 791.4 776.7 766.0 757.3 753.0 750.9 754.1 723.6 750.3 746.1 744.8 746.9 752.7 762.1 768.3 779.1 791.3 804.8 819.6 826.0 851.8 863.4 877.1 885.8 899.6 910.2 923.2 934.4 950.2 962.0 975.6 991.9 1001.3 1021.2 1030.6 1039.1 1059.1 1078.3 1091.0 659.9 
24.0M 6169.9 5873.8 5330.2 4495.6 3762.1 3201.8 2728.9 2366.7 2067.4 1829.2 1640.6 1489.2 1365.1 1261.5 1170.7 1093.8 1045.3 1001.6 962.4 931.6 901.5 877.6 855.1 836.1 823.9 813.7 805.2 801.8 802.6 807.0 820.8 751.6 833.9 838.7 843.5 857.5 882.5 904.0 923.7 944.5 968.3 991.6 1010.9 1020.1 1053.1 1059.5 1096.3 1080.5 1132.4 1159.7 1184.4 1168.3 1210.4 1252.4 1244.8 1238.8 1241.2 1335.2 1342.1 1305.1 1381.0 1399.9 1365.4 696.4 
16.0M 6136.2 5904.1 5324.8 4587.2 3856.6 3281.2 2790.5 2442.0 2150.8 1907.1 1706.4 1549.4 1420.8 1317.2 1227.9 1149.9 1105.9 1068.5 1036.9 1013.4 989.0 973.7 959.5 945.0 943.8 943.3 945.8 958.7 979.5 1012.1 1067.8 840.6 1160.1 1192.5 1217.2 1268.2 1307.6 1347.6 1290.7 1374.7 1406.0 1469.6 1489.4 1466.8 1537.0 1515.0 1604.8 1595.2 1641.0 1646.2 1818.9 1740.4 1817.3 1959.5 1833.9 1782.8 1970.0 2140.8 2046.7 1791.8 2245.7 2394.9 2196.7 781.3 
12.0M 6068.8 5849.8 5434.1 4651.3 3920.6 3325.8 2822.4 2477.3 2195.3 1962.7 1770.4 1614.6 1492.7 1389.5 1305.6 1233.7 1201.4 1172.5 1149.4 1132.3 1116.5 1109.3 1099.5 1103.2 1126.0 1178.4 1254.6 1317.4 1389.8 1407.2 1491.3 957.1 1567.2 1581.4 1629.9 1713.5 1817.6 1836.5 1660.2 1712.6 2028.9 2082.9 2170.8 2099.3 2167.2 2049.4 2386.2 2167.8 2305.1 2428.6 2398.4 2259.7 2498.7 2577.1 2490.4 2224.8 2559.4 2447.7 2572.0 2272.4 2606.4 2647.1 2608.6 884.4 
8.0M 6142.1 5665.3 5155.8 4818.6 4308.4 3727.1 3254.6 2872.0 2574.4 2342.8 2140.1 1979.9 1837.2 1727.7 1630.0 1548.6 1529.5 1515.4 1510.9 1509.8 1554.9 1562.8 1635.4 1698.8 1841.6 1870.7 2137.6 2053.9 2274.7 2223.3 2306.1 1265.7 2289.6 2261.5 2135.1 2328.6 2563.3 2506.5 2164.2 2434.2 2445.7 2691.0 2699.1 2487.7 2694.2 2630.4 2689.1 2636.1 2731.6 2744.1 2733.8 2637.0 2748.1 2750.3 2724.6 2687.3 2744.7 2752.7 2750.6 2750.3 2747.7 2744.6 2746.6 1173.9 
6.0M 6389.5 6178.6 5594.0 5274.6 4731.3 4188.4 3662.7 3277.4 2956.7 2731.4 2524.1 2359.1 2211.7 2073.6 1954.7 1845.0 1827.6 1804.2 1971.2 1939.8 2135.7 2060.9 1939.8 2056.1 2161.5 2295.9 2434.3 2152.1 2543.4 2620.8 2735.6 1565.7 2756.1 2745.4 2717.1 2762.5 2801.1 2788.2 2692.0 2795.3 2692.3 2772.2 2783.4 2779.8 2786.2 2783.8 2779.9 2787.2 2780.3 2783.3 2779.3 2773.7 2779.1 2782.2 2779.3 2740.4 2782.0 2785.9 2782.3 2776.5 2783.4 2777.3 2774.0 1655.6 
5.5M 6513.6 6318.7 5799.7 5598.4 5108.2 4494.4 4008.9 3608.0 3300.3 3020.2 2860.7 2662.7 2493.2 2343.3 2218.8 2096.0 2110.0 2115.6 2149.7 2108.5 2278.7 2301.2 2239.2 2442.7 2297.1 2482.2 2629.5 2474.9 2749.4 2738.8 2806.7 1755.3 2783.8 2797.3 2786.8 2803.3 2802.4 2807.0 2773.9 2798.7 2792.9 2794.6 2789.8 2792.9 2791.3 2784.5 2785.4 2797.5 2790.0 2786.7 2777.9 2788.1 2789.7 2784.2 2786.6 2780.4 2781.9 2780.4 2787.3 2786.4 2786.5 2784.0 2781.6 1458.0 
5.2M 6536.0 6399.1 5947.6 5837.2 5319.2 4716.2 4281.5 3901.6 3552.1 3263.3 3024.4 2810.3 2624.2 2461.0 2318.8 2200.8 2179.0 2168.1 2178.7 2193.5 2273.6 2268.8 2331.0 2542.2 2436.4 2567.0 2661.2 2546.9 2755.2 2775.7 2808.9 1768.2 2785.9 2793.8 2783.3 2801.0 2814.4 2803.4 2796.3 2799.4 2797.0 2799.1 2796.4 2797.4 2789.7 2789.2 2786.9 2791.6 2784.5 2786.4 2786.5 2792.7 2788.9 2786.8 2781.8 2777.9 2787.5 2788.2 2784.1 2785.0 2786.6 2780.2 2778.2 1389.5 
5.0M 6561.4 6436.3 6051.4 6001.3 5535.7 4944.4 4548.7 4182.1 3817.6 3501.1 3226.5 3003.0 2806.8 2639.1 2487.1 2352.3 2341.3 2336.9 2382.7 2416.6 2469.1 2481.5 2484.1 2668.0 2628.0 2665.5 2745.4 2655.1 2779.8 2787.1 2821.7 1986.9 2799.3 2796.9 2785.8 2813.2 2810.7 2804.3 2806.1 2799.6 2798.1 2800.4 2797.7 2795.7 2783.0 2794.0 2785.0 2801.7 2786.9 2781.5 2793.3 2792.6 2791.5 2790.4 2791.0 2790.7 2789.2 2788.9 2789.9 2786.9 2787.2 2785.1 2785.5 1641.7 
4.0M 6599.1 6567.5 6276.6 6416.2 6067.4 5436.2 5474.7 5130.8 4683.2 4251.7 3905.1 3602.9 3345.6 3139.2 2948.4 2786.5 2770.4 2757.1 2767.6 2784.7 2776.4 2779.6 2775.0 2830.5 2779.3 2804.1 2824.9 2787.8 2824.7 2830.1 2828.7 2643.2 2833.2 2829.8 2818.6 2819.8 2813.5 2808.8 2812.9 2810.7 2805.6 2804.7 2803.2 2804.7 2805.1 2796.4 2797.3 2802.9 2797.5 2790.8 2793.6 2796.8 2795.4 2790.4 2797.3 2795.7 2789.1 2796.8 2796.6 2789.4 2793.3 2786.4 2777.3 2492.7 
2.0M 6601.6 6589.6 6350.7 6517.2 6179.9 5597.3 5738.4 5396.9 4916.0 4483.9 4097.5 3777.4 3501.8 3262.6 3060.7 2888.8 2877.0 2864.6 2861.1 2843.6 2851.5 2843.4 2835.2 2833.4 2829.1 2832.7 2830.9 2829.5 2826.8 2831.5 2828.6 2843.0 2830.0 2824.8 2821.9 2821.5 2821.3 2813.5 2814.2 2813.3 2813.3 2800.3 2804.1 2808.5 2802.2 2797.7 2800.0 2800.6 2798.4 2800.3 2798.6 2801.7 2799.8 2795.6 2792.0 2794.5 2792.6 2788.0 2793.5 2797.5 2792.9 2793.6 2790.6 2807.5 
1.0M 6601.1 6595.6 6357.3 6533.1 6184.4 5605.6 5737.3 5397.8 4934.3 4492.5 4104.3 3766.9 3502.8 3269.3 3065.6 2893.5 2878.9 2868.8 2851.6 2851.2 2856.8 2845.0 2844.4 2847.3 2839.7 2828.3 2833.3 2837.8 2833.3 2842.9 2839.7 2855.2 2845.2 2843.0 2840.0 2839.6 2845.4 2850.1 2845.3 2844.7 2832.8 2863.5 2851.4 2862.6 2863.5 2874.0 2870.0 2927.7 2905.7 2917.9 2909.8 2925.5 2958.0 2955.0 2971.4 2988.2 3036.2 3062.4 3056.8 3027.2 3105.4 3125.4 3123.2 2815.5 
512.0K 6598.7 6597.7 6357.4 6555.3 6222.1 5653.7 5728.9 5455.4 5009.8 4575.6 4178.2 3841.0 3525.5 3291.5 3097.4 2931.8 2933.1 2951.7 2962.5 2996.4 2992.4 3018.5 2997.7 3044.2 3062.7 3076.3 3104.0 3157.3 3203.8 3235.0 3241.1 2888.7 3285.1 3389.6 3430.1 3512.1 3469.0 3548.8 3517.0 3658.7 3700.1 3771.4 3859.5 3866.9 3910.1 3883.5 4031.3 4085.8 4001.0 4181.5 4442.1 4503.4 4618.2 4312.6 4535.0 4432.9 4532.8 4882.4 5513.3 5421.5 5712.9 5386.8 5498.9 2870.8 
256.0K 6607.1 6598.3 6372.3 6530.0 6421.2 6137.3 5980.2 5939.8 5877.4 5824.0 5633.3 5466.5 5208.3 4976.1 4770.3 4543.3 4671.6 4782.7 4929.1 5256.0 5353.4 5441.7 5419.8 5562.6 5874.2 6049.7 5962.5 6005.9 6236.0 5777.4 6314.0 4617.9 6486.1 6559.2 6540.3 6615.6 6403.8 6361.7 6528.5 6473.6 6187.3 6455.0 6670.2 6384.6 6393.4 6310.4 6561.0 6572.2 6394.0 6385.7 6468.7 6448.4 6349.7 6528.2 6530.9 6420.0 6511.7 6398.4 6375.6 6452.1 6408.0 6455.9 6424.3 4664.0 
192.0K 6613.5 6591.7 6363.2 6488.6 6580.6 6596.7 6606.3 6538.9 6617.4 6634.7 6538.2 6522.6 6481.2 6390.7 6244.2 6258.4 6388.4 6441.1 6510.9 6781.7 6827.6 6906.6 6836.8 6969.3 6926.5 6939.1 6865.6 6906.0 6952.9 6573.3 6824.7 6231.5 6657.2 6764.7 6744.7 6763.4 6771.9 6562.0 6681.2 6828.9 6457.0 6805.9 6808.6 6764.2 6604.9 6470.5 6691.2 6679.2 6582.6 6804.5 6770.3 6667.9 6619.5 6603.4 6673.2 6572.9 6760.0 6605.9 6771.8 6735.2 6600.7 6665.2 6558.0 6130.3 
