Alignment,Time
0,1915730.79
1,1880521.12
2,1867719.22
3,1880495.06
4,1868103.85
5,1880403.76
6,1867612.98
7,1880634.39
8,1868166.08
9,1880429.30
10,1867709.78
11,1880676.61
12,1868243.00
13,1880681.80
14,1867547.36
15,1880529.84
16,1868242.82
17,1880458.72
18,1867666.12
19,1880505.11
20,1867989.24
21,1880432.26
22,1867582.45
23,1880517.17
24,1868003.86
25,1880851.53
26,1867514.14
27,1880693.66
28,1867713.73
29,1881013.17
30,1867578.47
31,1880502.67
32,1867657.79
33,1881944.49
34,1867599.03
35,1880487.25
36,1867657.03
37,1880995.46
38,1867619.88
39,1880427.56
40,1867619.49
41,1880854.20
42,1867545.42
43,1880391.67
44,1867538.85
45,1880948.91
46,1867438.19
47,1880366.32
48,1867569.54
49,1880867.24
50,1867585.52
51,1880302.24
52,1867573.84
53,1880408.58
54,1868028.57
55,1880398.92
56,1867600.77
57,1880515.93
58,1868043.58
59,1880433.27
60,1867479.07
61,1880442.87
62,1867894.18
63,1880455.81
64,1867511.21
