Alignment,Time          
0,941253.01
1,949812.76
2,946544.08
3,947073.66
4,933941.00
5,946595.24
6,946467.95
7,946511.44
8,934056.61
9,946617.18
10,946540.84
11,947074.92
12,933883.57
13,946436.84
14,946586.75
15,946542.45
16,934004.00
17,946566.41
18,946540.98
19,947252.08
20,933848.86
21,946513.89
22,946555.83
23,946441.91
24,933993.51
25,946582.76
26,946526.06
27,947066.17
28,933817.26
29,946511.73
30,946523.36
31,946457.66
32,933905.50
33,946536.50
34,946575.00
35,946680.46
36,934250.16
37,946524.45
38,946509.55
39,946455.43
40,933848.19
41,946651.16
42,946544.45
43,946517.74
44,934392.06
45,946510.67
46,946514.75
47,946529.08
48,933875.16
49,946536.77
50,946543.42
51,946553.76
52,934394.14
53,946511.84
54,946527.46
55,946551.19
56,933752.16
57,946632.09
58,946592.27
59,946638.45
60,934377.14
61,946481.90
62,946542.96
63,946554.87
64,933770.43
