Alignment,Time
0,1.79
1,1.81
2,1.81
3,1.81
4,1.78
5,1.81
6,1.81
7,1.81
8,1.78
9,1.81
10,1.81
11,1.81
12,1.78
13,1.81
14,1.81
15,1.81
16,1.78
17,1.81
18,1.81
19,1.81
20,1.78
21,1.81
22,1.81
23,1.81
24,1.78
25,1.81
26,1.81
27,1.81
28,1.78
29,1.81
30,1.81
31,1.81
32,1.78
33,1.81
34,1.81
35,1.81
36,1.78
37,1.81
38,1.81
39,1.81
40,1.78
41,1.81
42,1.81
43,1.81
44,1.78
45,1.81
46,1.81
47,1.81
48,1.78
49,1.81
50,1.81
51,1.81
52,1.78
53,1.81
54,1.81
55,1.81
56,1.78
57,1.81
58,1.81
59,1.81
60,1.78
61,1.81
62,1.81
63,1.81
64,1.78
